NAME,MSINI,A,PER,ECC,OM,T0,K,MSTAR
HD 69830 c,0.0367709,0.185072,31.559999,0.13,221,2453469.6,2.66,0.849
Kepler-21 b,0,0.0427173,2.785755,0,90,2455093.8,,1.34
HD 47186 b,0.071203,0.0498411,4.0845,0.038,59,2454566.95,9.12,0.99
Kepler-51 c,,0.379271,85.3128662,,,,,1
HD 148427 b,1.21259,1.06975,331.5,0.16,277,2453991,27.7,1.485
epsilon Tau b,7.62034,1.92936,594.90002,0.151,94.4,2452879,95.9,2.7
Kepler-11 e,0.0264262,0.1939,31.9959,0,90,2454987.159,,0.95
HD 208487 b,0.5122,0.520765,130.08,0.24,113,2450999,19.7,1.113
epsilon Eri b,1.05448,3.37558,2500,0.25,6,2448940,18.6,0.82
Kepler-69 c,,0.709354,242.4613,0.14,,2454843.964,,0.81
HD 20782 b,1.76369,1.35673,585.85999,0.925,147,2451687.1,115,0.969
HD 190360 c,0.0589738,0.129216,17.111027,0.23747,5.18038,2454389.63,4.84311,0.983
Kepler-23 c,0,0.0986522,10.7421,0,90,2454966.2926,,1.11
HD 65216 b,1.21636,1.37427,613.09998,0.41,198,2450762,33.7,0.92
Kepler-42 b,,0.0112809,1.2137672,,,,,0.13
HAT-P-13 b,0.8514,0.0426946,2.91625,0.0133,210,2454777.975,106.04,1.22
GJ 3634 b,0.0221881,0.0286881,2.64561,0.08,84,2455390.417,5.57,0.45
Kepler-9 b,0.248865,0.140548,19.243158,0.150841,18.5551,2455089.7,19.09,1
HD 130322 b,1.04309,0.0896052,10.7085,0.011,145,2453995,108.3,0.836
omega Ser b,1.70083,1.07698,277.02,0.106,132,2450022,31.8,2.17
HD 16175 b,4.37946,2.1185,990,0.6,222,2453810,94,1.29
HD 46375 b,0.227201,0.0399038,3.023573,0.063,114,2451071.53,33.65,0.927
Kepler-48 c,,0.0854683,9.6739283,,,,,0.89
Kepler-60 d,,0.105629,11.9016171,,,,,1.11
Kepler-14 b,8.40643,0.0806879,6.790123,0.0350051,89.0179,2454971.07,682.9,1.512
CoRoT-13 b,1.3102,0.051069,4.03519,0,90,2444790.8091,157.8,1.09
HD 98219 b,1.83388,1.23037,436.9,0,47,2455140,41.2,1.3
HD 11964 b,0.618198,3.15465,1944.5898,0.041,154.961,2454170.722,9.41101,1.107
HAT-P-34 b,3.32973,0.0677467,5.452654,0.441,20,2455431.59629,343.1,1.392
MOA-2010-BLG-477L b,,,,,,,,0.67
Kepler-31 b,,0.158038,20.8613,0,90,2454992.141,,1.21
HD 139357 b,10.0754,2.34618,1125.7,0.1,235.4,2452466.7,161.2,1.35
HD 1461 b,0.0240044,0.0635202,5.7727,0.14,58,2450366.519,2.7,1.026
HAT-P-30 b,0.706657,0.0419042,2.810595,0.035,252,2455454.91,88.1,1.242
Kepler-37 b,,0.102457,13.367308,0,90,2455017.03271,,0.803
HD 8535 b,0.682196,2.4447,1313,0.15,61,2454537,11.8,1.13
HAT-P-28 b,0.627451,0.0433674,3.257215,0.051,233,2455415.602,84.7,1.025
HD 4203 b,2.08215,1.16537,431.88,0.519,329.1,2451918.9,60.3,1.13
HD 102956 b,0.951497,0.0810025,6.4948,0.048,12,2455352.26,73.4,1.68
Fomalhaut b,,113.443,318498,0.12,,,,1.92
GJ 176 b,0.0259969,0.0656822,8.7832,0,0,2454399.79,4.12,0.49
HD 23079 b,2.4433,1.59509,730.6,0.102,55,2450492,54.9,1.012
HD 178911 B b,7.29127,0.344904,71.484,0.114,168.2,2453808.1,343.3,1.06421
WASP-58 b,0.890462,0.0562022,5.01718,0,90,2455183.9335,110.1,0.94
HD 162020 b,15.2138,0.0756944,8.428198,0.277,28.4,2451990.677,1813,0.8
MOA-bin-1L b,,,,,,,,0.75
HD 168746 b,0.245103,0.0655505,6.404,0.107,17,2451757.83,28.6,0.916
GJ 876 c,0.612168,0.129574,30.0881,0.25591,48.76,2450577.5,88.34,0.32
Kepler-20 c,0.0494862,0.0930411,10.854092,0,6.46982,2454963.325,4.83,0.912
Kepler-47 b,,0.267621,49.514,0,,,,1.043
HD 215497 b,0.020855,0.0465952,3.93404,0.16,96,2454858.95,2.98,0.872
Kepler-62 f,,0.717595,267.291,0.094434,237.995,2455442.463,,0.69
HD 154345 b,0.956901,4.21377,3341.5588,0.044,68.1543,2452831.223,14.0318,0.893
Kepler-60 c,,0.0871504,8.9193459,,,,,1.11
HD 217107 b,1.40112,0.0750282,7.1268163,0.126686,24.3621,2454395.787,139.204,1.108
mu Ara c,1.88907,5.34057,4205.8,0.0985,57.6,2452955.2,21.79,1.147
HD 7199 b,0.295018,1.36155,615,0.19,155,2455030,7.76,0.89
GJ 433 b,0.0181986,0.0580371,7.3709,0.08,204,2494287,3.11,0.48
HAT-P-31 b,2.16627,0.0611921,5.005425,0.245,274.3,2454318.48,232.5,1.218
OGLE-TR-113 b,1.25508,0.0228946,1.4324752,0,90,2452325.79823,267,0.779
Kepler-41 b,0.493327,0.0289537,1.855558,0,90,2454970.714,85,0.94
HD 40307 d,0.028076,0.132422,20.46,0,0,2454532.42,2.55,0.74
HD 290327 b,2.54762,3.43052,2443,0.08,268,2455326,41.3,0.9
GJ 876 e,0.039229,0.333345,124.26,0.055,239,2450519.598,3.42,0.32
HD 169830 c,4.06407,3.60184,2102,0.33,252,2452516,54.3,1.407
47 UMa c,0.545774,3.57197,2391,0.098,295,2452441,8,1.063
HD 63765 b,0.643827,0.94038,358,0.24,122,2454404,20.9,0.865
HD 85390 b,0.131884,1.52377,788,0.41,266,2454464.2,3.82,0.76
WASP-77 A b,0.119555,0.0240406,1.3600309,0,90,2455870.44977,21.9,1.002
55 Cnc e,0.0261924,0.0154393,0.736546,0,90,2455568.011,6.3,0.905
HIP 57274 d,0.528573,1.00678,431.7,0.27,187.2,2455108.116,18.2,0.73
HD 221287 b,3.11535,1.25015,456.10001,0.08,98,2453263,71,1.25
KOI-13 b,,0.0362917,1.7637,0,,2455138.7439,,2.05
HD 192699 b,2.39704,1.14839,345.53,0.129,41.3,2454036.6,49.3,1.69
HD 181342 b,2.99952,1.73419,663,0.177,281,2454881,52.3,1.58
WASP-8 b,2.13728,0.080153,8.158715,0.31,274.27,2454675.429,222.23,1.03
HD 131496 b,2.24115,2.1121,883,0.163,22,2456040,35,1.61
PSR B1257+12 c,,0.321369,66.5419,0.0186,250.4,2449768.1,,
HD 44219 b,0.589265,1.18713,472.3,0.61,147.4,2454585.6,19.4,1
75 Cet b,3.04335,2.07589,691.9,0.117,165,2452213,38.3,2.49
Kepler-27 b,0,0.10464,15.3348,0,90,2454991.6726,,0.65
Kepler-40 b,2.17681,0.0806644,6.87349,0,90,2455005.5198,179,1.48
HD 220074 b,11.1883,1.60044,672.1,0.14,323,2451158.2,230.8,1.2
HAT-P-39 b,0.598375,0.0509456,3.54387,0,90,2455208.75049,63.6,1.404
WASP-26 b,1.00876,0.0399686,2.7566,0,90,2455123.6379,135.5,1.12
HIP 2247 b,5.12319,1.33884,655.6,0.54,112.2,2454627.1,173.3,0.74
GJ 876 d,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,0.32
OGLE-TR-56 b,1.35448,0.0238309,1.2119189,0,90,2452072.683,225,1.228
HD 38529 b,0.85711,0.131395,14.310195,0.243663,95.3538,2454384.815,57.0213,1.477
BD +20 2457 c,13.1737,2.01294,621.99,0.18,126.02,2453866.95,160.03,2.8
HD 22781 b,13.8403,1.16847,528.07,0.8191,315.92,2454881.4,726.4,0.75
HD 120084 b,4.4772,4.26892,2082,0.66,117,2450774,53,2.39
MOA-2009-BLG-266L b,,,,,,,,0.56
HD 20868 b,2.00901,0.947319,380.85,0.75,356.2,2454451.52,100.34,0.78
HAT-P-9 b,0.775153,0.0528645,3.92289,0,90,2454417.9077,84.7,1.28
Kepler-33 e,,0.213825,31.7844,0,90,2454968.8,,1.291
Kepler-19 b,0,0.0845828,9.2869944,0,90,2454959.70597,,0.936
HD 107148 b,0.212171,0.270013,48.056,0.05,75,2439969,10.9,1.137
51 Peg b,0.461143,0.0521068,4.230785,0.013,58,2450001.51,55.94,1.054
WASP-60 b,,0.0531041,4.3050011,0,90,2455747.0295,,1.078
55 Cnc f,0.172877,0.773567,261.2,0.32,139,2450080.9108,6.2,0.905
HD 212301 b,0.39615,0.034116,2.245715,0,0,2453549.195,59.5,1.05
HAT-P-15 b,1.9513,0.0964692,10.863502,0.19,262,2454632.8,180.6,1.013
HD 209458 b,0.68851,0.047235,3.52474859,0,0,2452826.628514,84.67,1.131
HD 102272 b,5.91294,0.614906,127.58,0.05,118,2452146,155.5,1.9
HD 181433 b,0.0237331,0.0800943,9.3743,0.396,202,2454542,2.94,0.78
HD 187123 b,0.510056,0.042091,3.0965828,0.0102736,24.5363,2454343.116,69.4006,1.037
HD 108147 b,0.257999,0.101407,10.8985,0.53,308,2450828.86,25.1,1.171
WASP-61 b,2.05477,0.0514489,3.8559,0,90,2455859.52825,233,1.22
Kepler-58 b,,0.0905953,10.2184954,,,,,0.95
HD 215497 c,0.327524,1.28243,567.94,0.49,45,2455003.48,10.1,0.872
CoRoT-17 b,2.45898,0.0480499,3.7681,0,90,2454923.3093,312.4,1.04
HD 20794 d,0.0147932,0.349781,90.309,0,0,2454779.34,0.85,0.7
xi Aql b,2.80661,0.675889,136.75,0,0,2453001.7,65.4,2.2
HD 33564 b,9.12785,1.1241,388,0.34,205,2452603,232,1.25
HD 40979 b,4.02224,0.846038,264.15,0.252,323.4,2453919,119.4,1.154
GJ 581 c,0.0167756,0.0729238,12.9182,0.07,235,2454763,3.18,0.31
HD 10180 c,0.0415054,0.0641175,5.75962,0.077,279,2454001.4959,4.54,1.06
WASP-31 b,0.477154,0.0466223,3.405909,0,90,2455189.2828,58.2,1.165
HD 134987 c,0.804926,5.82513,5000,0.12,195,2451100,9.3,1.054
HD 40307 b,0.0129071,0.0468927,4.3115,0,0,2454562.77,1.97,0.74
iota Dra b,12.715,1.53084,511.098,0.7124,91.58,2452014.59,307.6,1.82
HD 108874 b,1.2902,1.03527,394.48124,0.1276,219.356,2454045.049,37.27,0.95
HD 4732 b,2.37727,1.19218,360.2,0.13,85,2454967,47.3,1.74
HD 23596 b,7.74272,2.77219,1561,0.266,272.6,2453162,127,1.159
HD 25171 b,0.956204,3.03064,1845,0.08,96,2455301,15,1.09
HD 83443 b,0.395855,0.0404623,2.985698,0.013,117,2451211.79,56.2,0.991
WASP-36 b,2.25537,0.0262601,1.5373653,0,90,2455569.83731,391.4,1.02
HD 43691 b,2.49717,0.241901,36.959999,0.14,290,2454046.6,124,1.38
30 Ari B b,9.87792,0.99475,335.1,0.289,307,2454538,272,1.16
HAT-P-6 b,1.05632,0.0523738,3.852985,0,90,2454035.67575,115.5,1.29
Kepler-35 b,0.127,0.48628,131.458,0.042,11.6336,2454920.3,,0.8877
BD -08 2823 c,0.328101,0.679166,237.6,0.19,127,2454193,13.4,0.74
4 UMa b,7.13242,0.876999,269.29999,0.432,23.81,2452987.394,215.55,1.234
Qatar-1 b,1.08272,0.0234308,1.420033,0,90,2455518.4102,218,0.85
HD 10697 b,6.23505,2.13177,1075.2,0.099,111.2,2451480,115.4,1.112
Kepler-32 e,,0.0323795,2.896,,,2454966.61,,0.54
Kepler-11 f,0.00723,0.249453,46.68876,0,90,2454964.6487,,0.95
BD +20 2457 b,22.6726,1.44993,379.63,0.15,207.64,2454677.03,322.35,2.8
mu Ara d,0.0345873,0.0927843,9.6386,0.172,212.7,2452991.1,3.06,1.147
HD 3651 b,0.228975,0.29472,62.218,0.596,245.5,2453932.6,15.9,0.882
HD 99706 b,1.40289,2.13423,868,0.37,6,2455220,22.4,1.72
HD 169830 b,2.88946,0.813279,225.62,0.31,148,2451923,80.7,1.407
HD 175541 b,0.574881,1.00334,297.3,0.33,183,2450213,14,1.524
HD 202206 c,2.33098,2.49004,1383.4,0.267,78.99,2452435.990435649,42.01,1.074
HD 145457 b,2.97219,0.762504,176.3,0.112,300,2453518,70.6,1.9
HD 206610 b,2.22576,1.6333,610,0.229,296,2454677,40.7,1.56
HD 12661 c,1.9487,2.91927,1707.8812,0.0312556,165.406,2456153.417,30.4148,1.136
Kepler-12 b,0.431855,0.0556348,4.4379637,0,182,2455000.68,48.2,1.166
HAT-P-36 b,1.83475,0.0238229,1.327347,0.063,95,2455565.198,334.7,1.022
WASP-35 b,0.716644,0.0431283,3.161575,0,90,2455531.47907,94.82,1.07
HD 69830 d,0.0563373,0.627426,197,0.07,224,2453358,2.2,0.849
HD 28254 b,1.1614,2.14768,1116,0.81,301,2454049,37.3,1.06
HD 81688 b,2.6907,0.811148,184.02,0,0,2452335.4,58.58,2.1
HD 210277 b,1.27275,1.13105,442.19,0.476,119.1,2450104.3,38.94,0.986
WTS-1 b,,0.0465809,3.352059,0.05,,2454318.7472,,1.2
HR 8799 c,,42.4842,82145,0,,,,1.516
Kepler-51 b,,0.248169,45.1555023,,,,,1
XO-1 b,0.918265,0.049283,3.941534,0,90,2453808.917,116,1.027
Kepler-33 d,,0.166175,21.77596,0,90,2455022.8,,1.291
Kepler-20 d,0.0236858,0.345324,77.61184,0,74.0546,2454955.434,1.2,0.912
55 Cnc b,0.801471,0.113377,14.651,0.004,110,2453035,71.11,0.905
HD 207832 b,0.564176,0.569755,161.97,0.13,130.8,2453191.07306,22.1,0.94
WASP-55 b,0.57116,0.0532575,4.465633,0,90,2455737.9396,70,1.01
HD 33283 b,0.330171,0.145378,18.179001,0.48,155.8,2453017.6,25.2,1.24
OGLE-TR-111 b,0.548481,0.0468862,4.0161,0,90,2452330.449,78,0.852
MOA-2007-BLG-400L b,,,,,,,,0.3
HD 10180 e,0.0797893,0.269917,49.747,0.065,174,2454008.7883,4.25,1.06
55 Cnc d,3.54451,5.47467,4909,0.02,254,2453490,45.2,0.905
WASP-3 b,2.00437,0.0314948,1.846834,0,90,2454605.55922,290.5,1.22
HD 148156 b,0.847612,2.12913,1027,0.52,35,2454707,17.5,1.22
TrES-5 b,1.77,0.0245157,1.4822446,0,90,2455443.25153,339.8,0.893
HD 222155 b,2.02633,5.13864,3999,0.16,137,2456319,24.2,1.13
HD 73526 b,2.8556,0.646509,188.3,0.19,203,2451167.1474222224,102,1.014
HD 117207 b,1.8189,3.73753,2597,0.144,73,2450630,26.6,1.031
HD 121504 b,1.2223,0.328688,63.330002,0.03,265,2451450,55.8,1.18
HD 156846 b,11.0076,1.11751,359.51001,0.8472,52.23,2453998.09,464.3,1.43
Kepler-18 b,0.0216244,0.0447299,3.504725,0,90,2454966.5068,,0.972
HR 8799 d,,26.7553,41054,0.1,,,,1.516
HAT-P-23 b,2.0884,0.0231971,1.212884,0.106,118,2454852.341,368.5,1.13
HD 224693 b,0.714594,0.192441,26.73,0.05,6,2453193.9,40.2,1.33
HD 158038 b,1.79425,1.49788,521,0.291,334,2455491,33.9,1.65
Kepler-26 c,0,0.113189,17.25204,0,90,2454982.8854,,0.65
GJ 179 b,0.824243,2.41241,2288,0.21,153,2455140,25.8,0.357
Kepler-22 b,0,0.848513,289.8623,,,,,0.97
Kepler-68 c,0.0137538,0.0907019,9.605085,0,90,2454969.3805,1.25,1.079
Kepler-42 d,,0.0150222,1.865169,,,,,0.13
HD 143361 b,3.03499,2.03474,1086,0.18,187,2453439,63,0.95
HD 155358 b,0.819484,0.626938,194.3,0.17,143,2451224.8,32,0.87
HD 192310 b,0.0531258,0.322307,74.72,0.13,173,2455116.198,3,0.8
WASP-64 b,1.2691,0.0265195,1.5732918,0,90,2455582.60169,221,1.004
upsilon And b,0.669277,0.0593858,4.6171363,0.013,50.9829,2454425.017,68.2132,1.31
Kepler-56 c,,0.167568,21.4050484,,,,,1.37
HD 86081 b,1.49595,0.0346186,2.1375,0.008,251,2453694.8,207.7,1.21
HD 109246 b,0.768085,0.328074,68.27,0.12,235,2454824.6,38.2,1.01
Kepler-68 d,0.845413,1.39639,580,0.18,,,19.9,1.079
HD 128311 c,3.24848,1.74533,923.8,0.23,28,2456987,78.8,0.828
CoRoT-23 b,3.07662,0.0483417,3.6313,0.16,52,,377,1.14
WASP-39 b,0.284135,0.0485835,4.055259,0,90,2455342.9688,38,0.93
GJ 876 b,1.9469,0.208098,61.1166,0.0324,50.3,2450546.8,214,0.32
HD 164509 b,0.480333,0.877542,282.4,0.26,324,2455703,14.2,1.13
HD 9446 b,0.698769,0.189213,30.052,0.2,215,2454854.4,46.6,1
HD 18742 b,2.71855,1.92734,772,0.12,102,2455200,44.3,1.6
WASP-80 b,0.551763,0.0344696,3.0678504,0,,2456125.417512,110.9,0.58
HD 167042 b,1.69651,1.31709,420.77,0.089,85.7,2454230.1,32.16,1.72
HD 69830 b,0.0316488,0.0781916,8.6669998,0.1,340,2453496.8,3.51,0.849
Kepler-8 b,0.582607,0.0483278,3.52254,0,90,2454954.1182,68.4,1.213
HD 114762 b,11.6351,0.362932,83.9151,0.3354,201.28,2449889.106,612.48,0.894578
61 Vir c,0.0333747,0.216926,38.021,0.14,341,2453350.4723572917,2.12,0.942
HD 45652 b,0.468448,0.227878,43.6,0.38,273,2454120.3,33.1,0.83
HAT-P-14 b,2.22166,0.0606258,4.627669,0.107,94,2454875.331,219,1.386
WASP-66 b,2.30754,0.0546221,4.086052,0,90,2455929.09615,246,1.3
HD 73256 b,1.86902,0.0371348,2.5485799,0.029,337.3,2452500.18,269,1.05
Kepler-56 b,,0.104248,10.5034294,,,,,1.37
6 Lyn b,2.20888,2.18639,874.774,0.059,314.9,2454024.5,31.52,1.82
HD 180314 b,22.6261,1.45528,396.03,0.257,303.1,2453565.9,340.8,2.6
HD 17092 b,4.96206,1.30798,359.89999,0.166,347.4,2452969.5,82.4,2.3
HIP 57274 b,0.0365708,0.0712798,8.1352,0.187,81,2454801.015,4.64,0.73
HD 202206 b,16.8244,0.811776,255.87,0.435,161.18,2452175.3356994856,564.75,1.074
WASP-5 b,1.62047,0.0271923,1.6284229,0,90,2454373.99601,277.8,1.01
CoRoT-2 b,3.27343,0.0280884,1.7429935,0.0143,102,2454237.592,563,0.97
HD 108874 c,1.02837,2.72021,1680.3835,0.273039,10.4522,2452797.335,18.8971,0.95
MOA-2010-BLG-073L b,,,,,,,,0.16
HD 200964 c,0.892778,1.94439,825,0.181,182.6,2455000,15.42,1.44
HD 10180 h,0.206033,3.42452,2248,0.151,184,2453619.1739,3.11,1.06
HD 33142 b,1.32886,1.05802,326.6,0.12,138,2455324,30.4,1.48
HAT-P-20 b,7.27817,0.03616,2.875317,0.015,317,2455079.875,1246,0.756
HD 7924 b,0.0291185,0.0566409,5.3978,0.17,25,2454727.27,3.87,0.832
CoRoT-5 b,0.461312,0.0496334,4.0378962,0.09,231.657,2454397.67413,59.1,1
WASP-47 b,1.13635,0.0520112,4.1591399,0,90,2455764.34602,136,1.084
OGLE-2011-BLG-0251 b,,,,,,,,0.26
Kepler-36 b,0.0140374,0.115423,13.83989,0,90,2454960.9753,,1.071
HAT-P-35 b,1.05305,0.0497734,3.646706,0.025,248,2455576.604,120.7,1.236
HD 99109 b,0.504198,1.10806,439.3,0.09,256,2451310,14.1,0.94
Kepler-5 b,2.11222,0.0506416,3.54846,0,90,2454955.90122,227.5,1.374
HD 10647 b,0.925037,2.02175,1003,0.16,336,2450960,17.9,1.095
Kepler-28 c,0,0.0768547,8.98597,0,90,2454981.7277,,0.75
upsilon And c,1.91855,0.830445,241.33335,0.223848,250.76,2454265.567,53.6229,1.31
WASP-12 b,1.34899,0.0225329,1.09142245,0.049,286,2454508.4837,226,1.28
HD 170469 b,0.668676,2.23538,1145,0.11,34,2451669,12,1.136
HD 88133 b,0.299445,0.047174,3.41587,0.133,349,2453016.31,36.1,1.2
HD 196885 b,2.9439,2.54171,1333,0.48,78,2452554,53.9,1.23
24 Sex b,1.64828,1.33782,455.2,0.184,227,2454758,33.2,1.54
HD 190228 b,5.94193,2.60478,1136.1,0.531,101.2,2453522,91.4,1.821
OGLE-2006-BLG-109L b,,2.30586,1789.72,,,,17.4,0.51
HD 181720 b,0.37199,1.84741,956,0.26,177,2453631,8.4,0.92
55 Cnc c,0.164558,0.237305,44.38,0.07,356,2453083,10.12,0.905
HD 156411 b,0.736644,1.88048,842.2,0.22,45,2454356,14,1.25
HD 27894 b,0.617925,0.122117,17.990999,0.049,132.9,2453275.46,58.1,0.75
HD 156279 b,9.7848,0.494507,131.05,0.708,264.2,2455525.59,578,0.93
61 Vir d,0.0715929,0.474527,123.01,0.35,314,2453350.031126736,3.25,0.942
HD 179079 b,0.0837774,0.119635,14.476,0.115,357,2454400.5,6.64,1.09
OGLE-05-390L b,,2.72349,3500,,,,,0.22
WASP-4 b,1.22306,0.0230406,1.3382299,0,90,2454387.327787,240,0.91
HD 4113 b,1.64829,1.27266,526.62,0.903,317.7,2453778,97.1,0.99
HD 330075 b,0.623724,0.0392074,3.38773,0,0,2452878.815,107,0.7
HD 104985 b,6.55066,0.782553,199.505,0.09,203.5,2451927.5,166.8,1.6
HD 87883 b,1.75571,3.57648,2754,0.53,291,2451139,34.7,0.803
HD 10180 g,0.0673813,1.42271,602,0,90,2454042.585,1.56,1.06
HD 66428 b,2.74962,3.14259,1973,0.465,152.9,2452139,48.3,1.061
HD 52265 b,1.07139,0.499878,119.29,0.325,243,2450833.7,42.1,1.17
HD 16417 b,0.0669595,0.135435,17.24,0.2,77,2450099.74,5,1.115
Kepler-15 b,0.66177,0.0571382,4.942782,0.133933,293.311,2454967.27,78.7,1.018
HD 205739 b,1.48708,0.894939,279.8,0.27,301,2453390.7,42,1.22
CoRoT-16 b,0.535943,0.0617874,5.35227,0.33,168.41,2454924.564,61.96,1.098
HD 216770 b,0.646927,0.455837,118.45,0.37,281,2452672,30.9,0.9
HD 136418 b,1.9935,1.29111,464.3,0.255,12,2455228,44.7,1.33
Kepler-59 b,,0.103167,11.8681707,,,,,1.04
beta Pic b,8.99692,8.76034,7159,,,,,1.75
HD 188015 b,1.46957,1.19018,461.2,0.137,222,2451787,37.6,1.056
WASP-59 b,0.859026,0.0696866,7.919585,0.1,74,2455830.669,109.6,0.719
WASP-54 b,0.630293,0.049881,3.6936411,0.067,62,2455518.091,73,1.213
HAT-P-8 b,1.29241,0.0449613,3.076337,0,90,2454437.67582,153.1,1.28
WASP-15 b,0.541448,0.0499436,3.7521,0,90,2454584.69819,63.4,1.18
HD 10180 d,0.0376549,0.128581,16.3567,0.143,292,2454005.3799,2.93,1.06
HD 9446 c,1.81548,0.65375,192.9,0.06,100,2454510,63.9,1
XO-4 b,1.60219,0.05524,4.1250828,0,90,2454485.933323,168.6,1.32
WASP-48 b,0.969551,0.034488,2.143634,0,90,2455364.55043,136.02,1.19
HD 37124 b,0.674371,0.533637,154.378,0.054,130,2450305,28.5,0.85
WASP-32 b,3.441,0.0390315,2.718661,0,90,2455681.1945,478,1.07
OGLE-TR-211 b,0.753425,0.0512842,3.67724,0,90,2453428.334,82,1.33
gamma Cep b,1.77171,2.13883,905.574,0.12,49.6,2453121.925,27.5,1.59
Kepler-11 g,0,0.463832,118.37774,0,90,2455120.2901,,0.95
GJ 86 b,4.00104,0.114217,15.76491,0.0416,269,2451903.36,376.7,0.796
HR 8799 e,3.2863,14.5253,16422,0,,,,1.516
HD 8574 b,1.80603,0.757141,227,0.297,26.6,2453981,58.3,1.122
MOA-2007-BLG-192L b,,,,,,,,0.084
HD 82886 b,1.30477,1.58126,705,0.066,347,2455200,28.7,1.06
HD 179949 b,0.902075,0.0439208,3.092514,0.022,192,2451002.36,112.6,1.181
HD 2952 b,1.62021,1.22755,311.6,0.129,64,2450112,26.3,2.54
MOA-2009-BLG-319L b,,,,,,,,0.38
HIP 14810 c,1.27518,0.545404,147.76916,0.153155,327.286,2454671.631,49.8989,0.99
HD 28678 b,1.71423,1.25067,387.1,0.168,128,2455517,33.5,1.74
WASP-56 b,0.605178,0.056145,4.617101,0,90,2455730.799,69,1.107
Kepler-18 c,0.054387,0.0752115,7.64159,0.000338541,30.7316,2455165.831,,0.972
CoRoT-8 b,0.215994,0.0633825,6.21229,0,90,2454238.9743,26,0.88
HD 96167 b,0.68457,1.34724,498.9,0.71,285,2453057,20.8,1.31
HD 43197 b,0.596868,0.918027,327.8,0.83,251,2454713.8,32.4,0.96
HD 37605 c,3.36552,3.81754,2720,0.013,221,2454838,48.9,1
HD 183263 b,3.57445,1.49006,626.516,0.35672,233.532,2452111.688,84.0443,1.121
Kepler-32 c,0,0.0676835,8.7522,0,90,2454977.378,,0.54
Kepler-23 b,0,0.0749015,7.10664,0,90,2454971.3022,,1.11
WASP-23 b,0.871881,0.037022,2.9444256,0,,,145.8,0.78
11 Com b,19.4336,1.29387,326.03,0.231,94.8,2452899.6,302.8,2.7
HD 145377 b,5.78201,0.450064,103.95,0.307,138.1,2454635.4,242.7,1.12
omicron CrB b,1.47736,0.826048,187.83,0.191,79,2452211,32.25,2.13
OGLE-TR-132 b,1.16945,0.0303507,1.689868,0,90,2453142.5912,167,1.305
beta Gem b,2.68707,1.73458,589.64001,0.02,354.58,2447739.02,41,2
Pr 201 b,0.540155,0.0565986,4.4264,0,90,2455992.861,58.1,1.234
WASP-52 b,0.45566,0.0271336,1.7497798,0,90,2455793.68143,84.3,0.87
47 UMa b,2.54589,2.10149,1078,0.032,334,2451917,48.4,1.063
HD 240210 b,7.28868,1.33364,501.75,0.15,277.49,2454486.76,161.89,1.25
HD 109749 b,0.27467,0.0629198,5.24,0,0,2453013.55,28.3,1.21
HD 45364 c,0.658513,0.897549,342.85,0.0974,7.41,2453250.376643117,21.92,0.82
WASP-50 b,1.46438,0.0294714,1.9550959,0.009,44,2455561.549,256.6,0.892
GJ 3470 b,0.0439877,0.0356123,3.33714,0,90,2455953.6645,9.01,0.541
HD 96127 b,4.00701,1.42112,647.3,0.3,162,2453969.4,104.8,0.91
HD 17156 b,3.30035,0.163197,21.21663,0.6819,121.9,2454757.00787,279.8,1.285
HD 16760 b,13.2921,1.08727,465.1,0.067,232,2454723,408,0.78
HD 30562 b,1.33254,2.34083,1157,0.76,81,2450131.5,33.7,1.277
Kepler-46 b,,0.1969,33.60134,0.01,270,2455053.2943,,0.902
epsilon CrB b,6.75624,1.30723,417.9,0.11,133.1,2451235.3,129.4,1.7
omicron UMa b,4.09607,3.94973,1630,0.13,58,2453400,33.6,3.09
TrES-2 b,1.19316,0.0355765,2.47063,0,90,2453957.6358,181.3,0.983
HD 102195 b,0.452799,0.0479747,4.113775,0,0,2453895.96,63,0.87
HD 75289 b,0.46004,0.047858,3.509267,0.034,141,2450830.34,54.9,1.187
HD 185269 b,0.954212,0.0765701,6.8378503,0.295952,171.817,2453154.089,90.692,1.28
WASP-7 b,0.919256,0.0604573,4.954658,0,90,2453985.0149,97,1.2
WASP-41 b,0.931742,0.0404959,3.052401,0,90,2455343.463,135,0.95
BD -10 3166 b,0.429903,0.0437823,3.48777,0.019,334,2451171.22,60.9,0.92
HD 190360 b,1.53512,3.97285,2915.0369,0.313105,12.9274,2453541.662,23.2383,0.983
HAT-P-13 c,14.2696,1.22574,446.27,0.6616,175.29,2455335.448,440,1.22
GJ 317 b,1.17505,0.953818,692.90002,0.193,344,2451639,71,0.24
HD 37605 b,2.80174,0.283337,55.01307,0.6767,220.86,2453378.241,202.99,1
WASP-44 b,0.88769,0.0347371,2.4238039,0,90,2455434.376,138.8,0.951
CoRoT-12 b,0.916321,0.0401409,2.828042,0.07,105,2454398.717,125.5,1.078
CoRoT-1 b,1.02603,0.0253191,1.5089557,0,90,2454159.4532,188,0.95
HD 125612 c,0.0580667,0.0522124,4.15474,0.27499,103.511,2454420.17287,7.165,1.1
GJ 581 b,0.0499019,0.0406125,5.36865,0.031,251,2454753.95,12.65,0.31
HD 102117 b,0.169756,0.152077,20.8133,0.121,279,2450942.2,11.98,1.083
