NAME,A,ECC,PER,MSINI,MASS,FE,MSTAR,DATE,R,GRAVITY,DENSITY,DIST,DEC
HD 45652 b,0.227878,0.38,43.6,0.468448,148.88055599076026,0.29,0.83,2008,,0,,34.3525,10.93404326
HR 8799 b,67.4293,0,164253,,2224.7162800040173,-0.47,1.516,2008,1.2,,,39.4,21.13437211
HD 205739 b,0.894939,0.27,279.8,1.48708,472.6187265240534,0.19,1.22,2008,,0,,107.759,-31.73728474
HD 5319 b,1.74656,0.12,674.59998,1.93773,615.8427824645977,0.15,1.56,2007,,0,,114.416,0.78967679
HD 43691 b,0.241901,0.14,36.959999,2.49717,793.6421075625188,0.25,1.38,2007,,0,,80.3859,41.0924349
GJ 674 b,0.0386657,0.2,4.6938,0.034879,11.085125590037158,-0.28,0.35,2007,,0,,4.5405,-46.8930516
NGC 4349 127 b,2.38084,0.19,677.8,19.8296,6302.17627799538,-0.12,3.9,2007,,,,2200,-61.81988888899485
HD 170469 b,2.23538,0.11,1145,0.668676,212.5163404639952,0.3,1.136,2007,,0,,62.7353,11.69554391
HD 219828 b,0.0515012,0,3.8334999,0.0622185,19.774072838204276,0.19,1.24,2007,,0,,72.3066,18.64571275
HD 190647 b,2.07238,0.18,1038.1,1.90296,604.7922988852063,0.24,1.1,2007,,0,,57.2738,-35.5381297
mu Ara e,0.93961,0.0666,310.54999,0.543322,172.67675695490607,0.292921,1.147,2007,,0,,15.5111,-51.8335882
HIP 14810 c,0.545404,0.153155,147.76916,1.27518,405.27338656221747,0.23,0.99,2007,,0,,53.4474,21.09748895
HD 125612 b,1.3728,0.45899,559.40487,3.06805,975.0772546951893,0.24,1.1,2007,,0,,54.2005,-17.48136132
HD 175541 b,1.00334,0.33,297.3,0.574881,182.70673139499849,-0.07,1.524,2007,,0,,127.065,4.26554303
HD 159868 b,2.24636,0.01,1178.4,2.1068,669.5760369589233,0,1.087,2007,,0,,58.6854,-43.14510336
epsilon Tau b,1.92936,0.151,594.90002,7.62034,2421.870636737973,0.17,2.7,2007,,0,,44.964,19.18052103
HAT-P-4 b,0.0443853,0,3.056536,0.671507,213.41607929095105,0.24,1.248,2007,1.274,3.0199,0.403,313.48,36.22963888910082
HD 192699 b,1.14839,0.129,345.53,2.39704,761.8191302601184,-0.15,1.69,2007,,0,,65.6168,4.58091946
HD 221287 b,1.25015,0.08,456.10001,3.11535,990.1099804157878,0.03,1.25,2007,,0,,55.2792,-58.20971926
XO-2 b,0.0368367,0,2.615838,0.566435,180.055823039068,0.45,0.974,2007,0.983,3.16753,0.741,148.148,50.22582222196791
GJ 581 c,0.0729238,0.07,12.9182,0.0167756,5.3315643466907705,-0.1,0.31,2007,,0,,6.24532,-7.72203837
HAT-P-2 b,0.0679088,0.5171,5.6334729,8.85612,2819.2399241739477,0.14,1.308,2007,1.157,4.22659,7.29,114.416,41.0481558
HAT-P-3 b,0.0388252,0,2.899703,0.595021,189.327169227679,0.27,0.928,2007,0.899,3.30962,1.02,138.696,48.02866666687859
HAT-P-1 b,0.0553326,0,4.4652934,0.531143,169.19571160992265,0.13,1.133,2007,1.242,2.93149,0.345,155.279,38.67495277775658
NGC 2423 3 b,2.09673,0.21,714.3,10.6368,3380.5517324495327,0.14,2.4,2007,,,,766.002,-13.90663888878293
WASP-1 b,0.0385203,0,2.5199449,0.827536,291.75564929195536,0.26,1.2,2007,1.516,2.97875,0.328,408.163,31.98994166692098
HD 24040 b,4.92406,0.04,3668,4.02189,1278.2234513407652,0.206313,1.18,2007,,0,,46.5983,17.47697958
HD 171028 b,1.31019,0.59,550,1.96177,623.4830938033543,-0.49,0.99,2007,,0,,109.89,6.945752777523465
HD 132406 b,1.98227,0.34,974,5.60495,1781.3462162297878,0.18,1.09,2007,,0,,67.8887,53.38285039
HD 11506 b,2.60488,0.3,1405,4.7347,1504.7663101335743,0.31,1.19,2007,,0,,51.7063,-19.50673549
HD 231701 b,0.555583,0.1,141.60001,1.08667,345.36177714170935,0.07,1.14,2007,,0,,118.483,16.47425226
HD 155358 c,1.00082,0.16,391.9,0.807031,256.4878577382746,-0.68,0.87,2007,,0,,44.1112,33.35638187
WASP-2 b,0.0312729,0,2.1522254,0.904818,288.7869243245957,0.1,0.88,2007,1.077,3.27277,0.92,165.837,6.429547221925524
TrES-3 b,0.0227178,0,1.30618581,1.87299,607.0297278296675,-0.19,0.915,2007,1.336,3.42502,0.994,245.098,37.54613888846503
HD 11964 c,0.228474,0.301733,37.910254,0.0783481,24.90032765391182,0.12156,1.107,2007,,0,,32.8515,-10.24183685
HD 17156 b,0.163197,0.6819,21.21663,3.30035,1049.6688133976097,0.24,1.285,2007,1.02,3.8571,3.78,75.0188,71.75331104
GJ 581 d,0.217717,0.25,66.64,0.0191104,6.073602571055538,-0.1,0.31,2007,,0,,6.24532,-7.72203837
HD 75898 b,1.18906,0.1,418.20001,2.51504,799.3214904087575,0.27,1.28,2007,,0,,75.7576,33.05688002
HD 155358 b,0.626938,0.17,194.3,0.819484,260.4456280004017,-0.68,0.87,2007,,0,,44.1112,33.35638187
HAT-P-5 b,0.0407152,0,2.788491,1.05391,335.49039319072006,0.24,1.157,2007,1.254,3.21949,0.66,341.297,36.62135555532244
4 UMa b,0.876999,0.432,269.29999,7.13242,2266.8015556894643,-0.25,1.234,2007,,0,,78.4929,64.32787194
HD 100777 b,1.03378,0.36,383.70001,1.16502,370.2627086471829,0.27,1,2007,,0,,49.6032,-4.75577838
HD 154345 b,4.21377,0.044,3341.5588,0.956901,304.11903329316056,-0.104944,0.893,2007,,0,,18.5874,47.07980409
HD 23127 b,2.31864,0.44,1214,1.40487,446.49102289846337,0.34,1.127,2007,,0,,98.7167,-60.07819077
HD 210702 b,1.20333,0.036,354.29,1.96498,624.503285126042,0.12,1.85,2007,,0,,54.9451,16.04059666
GJ 317 b,0.953818,0.193,692.90002,1.17505,373.4504092598172,-0.23,0.24,2007,,0,,9.17431,-23.45647222201029
HD 17092 b,1.30798,0.166,359.89999,4.96206,1577.0250949081048,0.18,2.3,2007,,0,,108.696,49.65307222233878
TrES-4 b,0.0509243,0,3.553945,0.913019,293.98036557195945,0.14,1.394,2007,1.783,2.87047,0.213,485.437,37.21183333290948
HD 81040 b,1.9372,0.526,1001.7,6.87654,2185.478641156975,-0.16,0.96,2006,,0,,33.1126,20.36436677
HD 4308 b,0.119192,0,15.56,0.0477376,15.171802269759967,-0.31,0.933,2006,,0,,22.0556,-65.64771788
HD 109749 b,0.0629198,0,5.24,0.27467,87.29468866124336,0.25,1.21,2006,,0,,56.2746,-40.81210318
HD 99109 b,1.10806,0.09,439.3,0.504198,160.2424998493522,0.314846,0.94,2006,,0,,49.9251,-1.52868638
HD 11964 b,3.15465,0.041,1944.5898,0.618198,196.4735935522748,0.12156,1.107,2006,,0,,32.8515,-10.24183685
HD 224693 b,0.192441,0.05,26.73,0.714594,227.10984362759865,0.343,1.33,2006,,0,,98.4252,-22.42818043
HD 20782 b,1.35673,0.925,585.85999,1.76369,560.5299794114693,-0.0510211,0.969,2006,,0,,35.524,-28.85391341
HD 142022 b,2.93163,0.53,1928,4.46762,1419.8838495530783,0.19,0.9,2006,,0,,34.3289,-84.231536
HD 69830 c,0.185072,0.13,31.559999,0.0367709,11.68640283719996,-0.0604105,0.849,2006,,0,,12.4938,-12.62976955
HIP 14810 b,0.0692271,0.142483,6.673859,3.87441,1231.351857487195,0.23,0.99,2006,,0,,53.4474,21.09748895
HD 118203 b,0.0702997,0.309,6.1335,2.13623,678.9293798332831,0.1,1.23,2006,,0,,88.574,53.72871983
HD 187085 b,2.02754,0.47,986,0.803694,255.42730370593551,0.0882322,1.143,2006,,0,,44.0335,-37.78029717
HD 69830 d,0.627426,0.07,197,0.0563373,17.90492978306719,-0.0604105,0.849,2006,,0,,12.4938,-12.62976955
HD 164922 b,2.10091,0.05,1155,0.357927,113.7551462789997,0.170081,0.927,2006,,0,,22.119,26.31446576
HD 69830 b,0.0781916,0.1,8.6669998,0.0316488,10.058514371798733,-0.0604105,0.849,2006,,0,,12.4938,-12.62976955
TrES-2 b,0.0355765,0,2.47063,1.19316,381.60558350908906,-0.15,0.983,2006,1.224,3.29801,0.813,212.766,49.31640833324856
GJ 849 b,2.35317,0.04,1882,0.830886,264.06937300391684,0.16,0.49,2006,,0,,9.09587,-4.64068122
HD 73526 c,1.02831,0.14,377.8,2.4209,769.4022346088179,0.249696,1.014,2006,,0,,100.705,-41.31949491
HD 107148 b,0.270013,0.05,48.056,0.212171,67.43146826353319,0.313842,1.137,2006,,0,,51.2033,-3.31967361
WASP-33 b,0.0255483,0,1.21986983,0,0,0.1,1.495,2006,1.497,,0.00122703,115.607,37.5505038
HD 102195 b,0.0479747,0,4.113775,0.452799,143.9070438385056,0.05,0.87,2006,,0,,29.6384,2.82175406
HD 212301 b,0.034116,0,2.245715,0.39615,125.90305061765591,-0.18,1.05,2006,,0,,54.9451,-77.71769956
OGLE-05-169L b,3.41991,,3300,,12.712664457165813,,0.49,2006,,,,2700,-30.73263888888889
XO-1 b,0.049283,0,3.941534,0.918265,291.9031161996585,0.02,1.027,2006,1.206,3.21063,0.65,171.821,28.16955555544959
HD 185269 b,0.0765701,0.295952,6.8378503,0.954212,303.2644244250276,-0.025,1.28,2006,,0,,50.2765,28.50005995
HD 86081 b,0.0346186,0.008,2.1375,1.49595,475.43775986742986,0.257,1.21,2006,,0,,95.3289,-3.80846337
HD 66428 b,3.14259,0.465,1973,2.74962,873.8749111178065,0.310226,1.061,2006,,0,,54.9149,-1.16220409
HD 33283 b,0.145378,0.48,18.179001,0.330171,104.93382841217233,0.366,1.24,2006,,0,,94.162,-26.79735883
OGLE-05-390L b,2.72349,,3500,,5.498227377724214,,0.22,2006,,,,6500,-30.37722222222222
HD 149143 b,0.0530508,0.016,4.072,1.32811,422.0954198051621,0.26,1.2,2006,,0,,62.0347,2.08503811
HD 10647 b,2.02175,0.16,1003,0.925037,293.9921247865823,-0.0775835,1.095,2006,,0,,17.4338,-53.74057473
HD 33564 b,1.1241,0.34,388,9.12785,2900.982356633524,-0.12,1.25,2005,,0,,20.8855,79.23075694
HD 102117 b,0.152077,0.121,20.8133,0.169756,53.95127668976598,0.295218,1.083,2005,,0,,39.6983,-58.70353947
HD 101930 b,0.302019,0.11,70.459999,0.299187,95.0865985236517,0.17,0.74,2005,,0,,29.2056,-58.00773114
HD 189733 b,0.0309953,0,2.21857567,1.14039,363.45507683037056,-0.03,0.806,2005,1.138,3.34131,0.963,19.4515,22.7114623
HD 128311 c,1.74533,0.23,923.8,3.24848,1032.42090589535,0.204777,0.828,2005,,0,,16.5016,9.74712514
HD 11977 b,1.93643,0.4,711,6.51995,2072.148415687456,-0.21,1.91,2005,,0,,67.0691,-67.64748114
OGLE-05-071L b,3.54863,,3600,,1207.7031234307522,,0.46,2005,,,,3200,-34.67305555555555
HD 183263 b,1.49006,0.35672,626.516,3.57445,1136.0195867229086,0.301955,1.121,2005,,0,,55.0964,8.35813454
HD 217107 c,5.33414,0.517222,4270,2.61546,831.2366345284723,0.389294,1.108,2005,,0,,19.857,-2.39534603
GJ 581 b,0.0406125,0.031,5.36865,0.0499019,15.859652761876067,-0.1,0.31,2005,,0,,6.24532,-7.72203837
HD 108874 c,2.72021,0.273039,1680.3835,1.02837,326.8330686953902,0.181867,0.95,2005,,0,,62.6174,22.88004579
HD 190360 c,0.129216,0.23747,17.111027,0.0589738,18.74285327910013,0.212773,0.983,2005,,0,,15.8579,29.89807936
HD 208487 b,0.520765,0.24,130.08,0.5122,162.78566837400822,0.0222606,1.113,2005,,0,,45.8505,-37.76333466
HD 45350 b,1.94413,0.778,963.6,1.83614,583.5557929095108,0.290863,1.054,2005,,0,,48.8759,38.96309298
HD 202206 c,2.49004,0.267,1383.4,2.33098,740.8241649091091,0.353502,1.074,2005,,0,,45.3309,-20.78891819
HD 2638 b,0.0435743,0,3.4442,0.477325,151.7018140504168,0.16,0.93,2005,,0,,49.9251,-5.76345711
HD 88133 b,0.047174,0.133,3.41587,0.299445,95.16859520940042,0.34,1.2,2005,,0,,81.4332,18.18751239
HD 93083 b,0.476549,0.14,143.58,0.368176,117.012448729537,0.15,0.7,2005,,0,,27.8552,-33.57665453
HD 50499 b,3.87172,0.253675,2457.8717,1.74473,554.5041764587727,0.335195,1.28,2005,,0,,46.1255,-33.91572685
HD 63454 b,0.0362523,0,2.818049,0.384566,122.2214629908607,0.11,0.8,2005,,0,,34.5423,-78.27887584
HD 117618 b,0.174852,0.42,25.827,0.176652,56.14294004218137,0.00274042,1.069,2005,,0,,37.9651,-47.27105979
HD 99492 b,0.121908,0.254,17.0431,0.106179,33.74544998493522,0.362285,0.832,2005,,0,,17.9565,3.00586339
HD 117207 b,3.73753,0.144,2597,1.8189,578.0766345284724,0.266084,1.031,2005,,0,,33.0469,-35.57082258
HD 27894 b,0.122117,0.049,17.990999,0.617925,196.3868296173546,0.3,0.75,2005,,0,,43.8789,-59.411499
HD 149026 b,0.0431325,0,2.8758911,0.359837,114.88148834990459,0.36,1.294,2005,0.654,3.13174,1.59,79.4281,38.34717984
HD 37124 d,2.80658,0.16,1862,0.68665,218.2287762378226,-0.441617,0.85,2005,,0,,33.67,20.73180836
OGLE-TR-10 b,0.0434855,0,3.101278,0.626643,197.0462990860701,0.15,1.14,2005,1.25,3.00418,0.4,,-29.87636111153497
HD 188015 b,1.19018,0.137,461.2,1.46957,467.0537576579291,0.288779,1.056,2005,,0,,57.0125,28.100598
GJ 876 d,0.0208066,0.207,1.93778,0.0184193,5.853959510896856,0.37,0.32,2005,,0,,4.68867,-14.26205823
HD 13189 b,1.80272,0.27,471.6,14.7715,4694.62807572562,-0.58,3.5,2005,,,,,32.31642177
OGLE-TR-111 b,0.0468862,0,4.0161,0.548481,174.79913628602995,0.19,0.852,2004,1.051,3.0879,0.59,,-61.40563888867696
mu Ara c,5.34057,0.0985,4205.8,1.88907,600.3778261524556,0.292921,1.147,2004,,0,,15.5111,-51.8335882
HD 147513 b,1.30958,0.26,528.40002,1.17965,374.9123656723913,0.0891888,1.072,2004,,0,,12.7779,-39.19298837
HD 121504 b,0.328688,0.03,63.330002,1.2223,388.4672441498443,0.16,1.18,2004,,0,,45.106,-56.03983834
OGLE-TR-132 b,0.0303507,0,1.689868,1.16945,375.02360148639144,0.37,1.305,2004,1.2,3.2758,0.85,172.414,-61.95719444433848
HD 74156 b,0.291535,0.63,51.638,1.77342,563.6223350406749,0.130772,1.238,2004,,0,,64.433,4.57858478
HD 169830 c,3.60184,0.33,2102,4.06407,1291.6289560108467,0.152981,1.407,2004,,0,,36.6032,-29.8169023
mu Ara d,0.0927843,0.172,9.6386,0.0345873,10.992418484483279,0.292921,1.147,2004,,0,,15.5111,-51.8335882
HD 142415 b,1.06061,0.5,386.29999,1.66194,528.1921391985537,0.0880335,1.065,2004,,0,,34.2349,-60.20000866
HD 114386 b,1.72685,0.23,937.70001,1.3637,433.4065130059254,0.00374012,0.78,2004,,0,,28.8934,-35.05399264
HD 65216 b,1.37427,0.41,613.09998,1.21636,386.5794134779552,-0.12,0.92,2004,,0,,35.5745,-63.64767757
HD 82943 c,0.742817,0.359,219.5,1.98927,632.2230506176559,0.265406,1.133,2004,,0,,27.4725,-12.12912276
HD 154857 b,1.29206,0.47,409,2.33267,741.3612749824243,-0.22,1.718,2004,,0,,64.2261,-56.68066136
GJ 436 b,0.0287188,0.16,2.64385,0.0725512,23.10460023601486,,0.452,2004,0.3767,3.10603,1.69,10.141,26.70854783
HD 41004 B b,0.0176759,0.081,1.3283,18.4135,5852.116174550567,,0.4,2004,,0,,40.7664,-48.23984977
HD 82943 b,1.183,0.219,441.2,1.73352,550.9414522446519,0.265406,1.133,2004,,0,,27.4725,-12.12912276
HD 6434 b,0.142061,0.17,21.997999,0.397195,126.23516897659938,-0.52,0.79,2004,,0,,41.3736,-39.48693476
HD 19994 b,1.30567,0.266,466.2,1.32681,421.6822582103043,0.18649,1.365,2004,,0,,22.5785,-1.19593262
HD 330075 b,0.0392074,0,3.38773,0.623724,198.22984814703221,0.08,0.7,2004,,0,,49.6032,-49.96329676
55 Cnc e,0.0154393,0,0.736546,0.0261924,8.379902375213417,0.314513,0.905,2004,0.185565,3.21356,4.173,12.3411,28.33138863
HD 37605 b,0.283337,0.6767,55.01307,2.80174,890.4395129054936,0.336,1,2004,,0,,43.9754,6.06117666
HD 74156 c,3.8997,0.38,2520,8.24664,2620.9191804760467,0.130772,1.238,2004,,0,,64.433,4.57858478
OGLE235-MOA53 b,,,,,826.3231897157779,,0.63,2004,,,,5200,-28.895
HD 111232 b,1.97489,0.2,1143,6.84182,2174.444048408155,-0.36,0.78,2004,,0,,29.3427,-68.42542514
OGLE-TR-113 b,0.0228946,0,1.4324752,1.25508,400.4489304007231,0.09,0.779,2004,1.093,3.41932,1.2,600,-61.44680555555555
TrES-1 b,0.0392516,0,3.030065,0.752484,239.151915034649,0.02,0.878,2004,1.067,3.22003,0.769,152.207,36.63265000025432
HD 216770 b,0.455837,0.37,118.45,0.646927,205.6041469820227,0.26,0.9,2004,,0,,35.5745,-26.65833029
HD 73526 b,0.646509,0.19,188.3,2.8556,907.5571155970673,0.249696,1.014,2003,,0,,100.705,-41.31949491
HD 72659 b,4.75375,0.22,3658,3.1741,1008.7817063372502,-0.00448106,1.068,2003,,0,,49.8256,-1.56797863
HD 12661 c,2.91927,0.0312556,1707.8812,1.9487,619.3292306919756,0.362341,1.136,2003,,0,,34.9528,25.414731
HD 3651 b,0.29472,0.596,62.218,0.228975,72.77205860198856,0.164467,0.882,2003,,0,,11.0595,21.25137382
HD 70642 b,3.18072,0.034,2068,1.90944,606.8517505272672,0.164227,1.002,2003,,0,,28.0662,-39.70595781
HD 23596 b,2.77219,0.266,1561,7.74272,2460.7650336446723,0.217926,1.159,2003,,0,,50.4286,40.53058368
HD 108874 b,1.03527,0.1276,394.48124,1.2902,410.0469920658833,0.181867,0.95,2003,,0,,62.6174,22.88004579
HD 40979 b,0.846038,0.252,264.15,4.02224,1278.3346871547653,0.168315,1.154,2003,,0,,33.1126,44.26081415
HD 8574 b,0.757141,0.297,227,1.80603,573.9863347393793,-0.00891622,1.122,2003,,0,,44.5633,28.5670789
OGLE-TR-56 b,0.0238309,0,1.2119189,1.35448,441.765089886512,0.22,1.228,2003,1.363,3.26323,0.68,1500,-29.53922222243415
tau Gru b,2.51797,0.07,1311,1.2147,386.0518379029828,0.24386,1.238,2003,,0,,32.6158,-48.59808751
HD 190360 b,3.97285,0.313105,2915.0369,1.53512,487.8866365371096,0.212773,0.983,2003,,0,,15.8579,29.89807936
HD 37124 c,1.70993,0.125,885.5,0.648109,205.97980621673193,-0.441617,0.85,2003,,0,,33.67,20.73180836
HD 38529 c,3.71859,0.355094,2146.0503,13.0799,4157.009495832078,0.445121,1.477,2003,,0,,39.2773,1.168538
HD 114729 b,2.10235,0.167,1114,0.944758,300.2597861805765,-0.261741,0.998,2003,,0,,36.1141,-31.87259937
HD 30177 b,3.80821,0.193,2770,9.68782,3078.9501245355023,0.394219,0.951,2003,,0,,52.8262,-58.02072763
HD 2039 b,2.19755,0.715,1120,5.92499,1883.0602445515715,0.31541,1.123,2003,,0,,102.564,-56.65008425
HD 190228 b,2.60478,0.531,1136.1,5.94193,1888.4440579491813,-0.180288,1.821,2003,,0,,61.6143,28.30702649
HD 128311 b,1.08649,0.345,454.2,1.4572,463.1223661745505,0.204777,0.828,2003,,0,,16.5016,9.74712514
HD 49674 b,0.0571073,0.087,4.94737,0.101571,32.28095103946972,0.309592,1.015,2003,,0,,44.2282,40.8680551
HD 76700 b,0.0511051,0.095,3.97097,0.232142,73.77858381038465,0.34543,1.129,2003,,0,,60.2773,-66.80128651
14 Her b,2.93362,0.369,1773.4,5.21486,1657.3691342773927,0.459932,1.066,2003,,0,,17.5716,43.8183694
HD 104985 b,0.782553,0.09,199.505,6.55066,2081.908563824445,-0.35,1.6,2003,,0,,97.0874,76.90595818
HD 73256 b,0.0371348,0.029,2.5485799,1.86902,594.0056030933011,0.26,1.05,2003,,0,,37.7644,-30.03778645
HD 141937 b,1.50087,0.41,653.21997,9.4752,3011.3759566134377,0.128642,1.048,2002,,0,,32.2997,-18.4361234
55 Cnc c,0.237305,0.07,44.38,0.164558,52.299265943557295,0.314513,0.905,2002,,0,,12.3411,28.33138863
HD 202206 b,0.811776,0.435,255.87,16.8244,5347.073797328512,0.353502,1.074,2002,,0,,45.3309,-20.78891819
HD 50554 b,2.26097,0.444,1224,4.39876,1397.9989976900674,-0.0658389,1.025,2002,,0,,29.9133,24.24579285
HD 106252 b,2.61147,0.482,1531,6.95913,2211.727115094908,-0.0762657,1.007,2002,,0,,37.7074,10.04231756
HD 23079 b,1.59509,0.102,730.6,2.4433,776.5213267048307,-0.149704,1.012,2002,,0,,33.8868,-52.91561456
55 Cnc d,5.47467,0.02,4909,3.54451,1126.5041573767198,0.314513,0.905,2002,,0,,12.3411,28.33138863
HD 4203 b,1.16537,0.519,431.88,2.08215,661.7418574871949,0.452632,1.13,2002,,0,,77.2201,20.44922861
HD 68988 b,0.0692771,0.1249,6.27711,1.79992,572.0444752435471,0.324379,1.124,2002,,0,,54.5256,61.46064472
HD 83443 b,0.0404623,0.013,2.985698,0.395855,125.80929471728433,0.356846,0.991,2002,,0,,41.1692,-43.27191187
HD 108147 b,0.101407,0.53,10.8985,0.257999,81.99636793210806,0.0868245,1.171,2002,,0,,38.0807,-64.02194012
HD 142 b,1.04292,0.26,350.3,1.3057,414.97314954303505,0.0997966,1.232,2002,,0,,25.7136,-49.07509412
HD 33636 b,3.26519,0.4805,2127.7,9.26951,2946.0042578085768,-0.125591,1.017,2002,,0,,28.3688,4.40387312
HD 136118 b,2.33328,0.338,1187.3,11.6809,3712.3840564427032,-0.0502233,1.191,2002,,0,,46.5766,-1.59244348
HD 196050 b,2.51056,0.228,1378,2.8434,903.6797529376316,0.229114,1.109,2002,,0,,49.975,-60.63432542
HD 114783 b,1.15987,0.144,493.7,1.10505,351.20324645977706,0.116482,0.853,2002,,0,,20.5002,-2.26506278
HD 4208 b,1.65355,0.052,828,0.807457,256.6232476147434,-0.284151,0.879,2002,,0,,32.3729,-26.51604496
47 UMa c,3.57197,0.098,2391,0.545774,173.45604328613035,0.0431014,1.063,2002,,0,,14.0627,40.43012282
iota Dra b,1.53084,0.7124,511.098,12.715,4041.0382143215825,,1.82,2002,,0,,31.027,58.96602361
HD 216437 b,2.48556,0.319,1353,2.16817,689.0804424023299,0.224954,1.117,2002,,0,,26.7451,-70.07388669
HD 39091 b,3.34651,0.6405,2151,10.088,3206.133976097218,0.048326,1.071,2002,,0,,18.315,-80.4716744
HD 168746 b,0.0655505,0.107,6.404,0.245103,77.8978049111178,-0.0775105,0.916,2002,,0,,42.735,-11.92251498
HD 162020 b,0.0756944,0.277,8.428198,15.2138,4835.198362960731,0.112024,0.8,2002,,0,,29.4291,-40.31828766
HD 178911 B b,0.344904,0.114,71.484,7.29127,2317.2867244149843,0.284922,1.06421,2002,,0,,42.5894,34.59936861
HD 80606 b,0.447343,0.934,111.4367,3.89024,1236.478239429547,0.342509,0.958,2001,1.029,3.98847,7.94618,58.4795,50.60370469
mu Ara b,1.5273,0.128,643.25,1.74552,554.7552515818018,0.292921,1.147,2001,,0,,15.5111,-51.8335882
HD 169830 b,0.813279,0.31,225.62,2.88946,918.3183860600583,0.152981,1.407,2001,,0,,36.6032,-29.8169023
HD 38529 b,0.131395,0.243663,14.310195,0.85711,272.40379582203474,0.445121,1.477,2001,,0,,39.2773,1.168538
HD 179949 b,0.0439208,0.022,3.092514,0.902075,286.69441975494624,0.136947,1.181,2001,,0,,27.5482,-24.17910477
epsilon Ret b,1.2667,0.06,428.1,1.54759,491.849809681631,0.419773,1.478,2001,,0,,18.2382,-59.30174863
HD 213240 b,1.88529,0.421,882.7,4.53249,1440.500613136487,0.138711,1.143,2001,,0,,40.6339,-49.43279866
HD 168443 c,2.85281,0.2113,1749.83,17.3857,5525.464261323691,0.04,0.995,2001,,0,,37.4252,-9.59517771
GJ 876 c,0.129574,0.25591,30.0881,0.612168,194.55715938535704,0.37,0.32,2001,,0,,4.68867,-14.26205823
HD 1237 b,0.494668,0.511,133.71001,3.3748,1072.5675002510795,0.12,0.9,2001,,0,,17.4978,-79.85104066
HD 28185 b,1.02341,0.05,379,5.79721,1842.4496379431553,0.22,0.99,2001,,0,,42.337,-10.55067414
HD 12661 b,0.838172,0.376834,262.70861,2.3408,743.9451240333434,0.362341,1.136,2001,,0,,34.9528,25.414731
HD 92788 b,0.951142,0.334,325.81,3.56392,1132.6729778045594,0.317892,1.078,2001,,0,,35.461,-2.18321458
BD -10 3166 b,0.0437823,0.019,3.48777,0.429903,136.63031470322386,0.381727,0.92,2000,,0,,80,-10.77036111116409
HD 75289 b,0.047858,0.034,3.509267,0.46004,146.20835392186402,0.216617,1.187,2000,,0,,29.146,-41.73623883
HD 209458 b,0.047235,0,3.52474859,0.68851,219.18095480566433,0,1.131,2000,1.359,2.96343,0.338,49.6278,18.88436321
HD 177830 b,1.227,0.096,410.1,1.53223,486.9681465300793,0.545325,1.46388,2000,,0,,59.0319,25.9207868
GJ 86 b,0.114217,0.0416,15.76491,4.00104,1271.5969749924675,-0.267896,0.796,2000,,0,,10.7828,-50.82531507
HD 192263 b,0.152945,0.055,24.3556,0.639382,203.20622064878978,0.0543197,0.804,2000,,0,,19.3162,-0.86751448
HD 37124 b,0.533637,0.054,154.378,0.674371,214.32630606608416,-0.441617,0.85,2000,,0,,33.67,20.73180836
HD 52265 b,0.499878,0.325,119.29,1.07139,340.505539319072,0.193307,1.17,2000,,0,,28.9603,-5.36735737
iota Hor b,0.92376,0.14,302.8,2.04683,650.5165747715175,0.111272,1.145,2000,,0,,17.1674,-50.80082679
HD 46375 b,0.0399038,0.063,3.023573,0.227201,72.20825193331324,0.240029,0.927,2000,,0,,34.8189,5.46316071
epsilon Eri b,3.37558,0.25,2500,1.05448,335.1312604198052,-0.0308963,0.82,2000,,0,,3.21605,-9.45830604
HD 134987 b,0.807929,0.233,258.18,1.56347,496.89673747112585,0.279202,1.054,2000,,0,,26.2055,-25.30916442
HD 187123 c,4.83146,0.252086,3805.6705,1.9422,617.263422717686,0.121412,1.037,2000,,0,,48.2626,34.41982366
HD 130322 b,0.0896052,0.011,10.7085,1.04309,331.5113292156272,0.00632988,0.836,2000,,0,,31.7058,-0.28113346
HD 222582 b,1.33658,0.725,572.38,7.63003,2424.9502797027217,-0.0285345,0.965,2000,,0,,41.7711,-5.98548718
HD 89744 b,0.918162,0.673,256.78,8.47248,2692.694884001205,0.264772,1.558,2000,,0,,39.4322,41.22986693
HD 10697 b,2.13177,0.099,1075.2,6.23505,1981.6024630912925,0.194014,1.112,2000,,0,,32.5733,20.08340554
HD 134987 c,5.82513,0.12,5000,0.804926,255.81885377121623,0.279202,1.054,2000,,0,,26.2055,-25.30916442
HD 16141 b,0.355656,0.252,75.523,0.249652,79.34355267650899,0.170315,1.052,2000,,0,,38.956,-3.55953953
upsilon And d,2.52452,0.267395,1278.1218,4.11582,1308.0759656523048,0.152951,1.31,1999,,0,,13.4916,41.40638473
HD 168443 b,0.29385,0.52883,58.11247,7.69745,2446.3774756452744,0.04,0.995,1999,,0,,37.4252,-9.59517771
HD 195019 b,0.136688,0.0138,18.20132,3.57989,1137.748509089083,0.0679703,1.025,1999,,0,,38.5208,18.76963471
upsilon And c,0.830445,0.223848,241.33335,1.91855,609.7470598573867,0.152951,1.31,1999,,0,,13.4916,41.40638473
HD 217107 b,0.0750282,0.126686,7.1268163,1.40112,445.29921060560406,0.389294,1.108,1999,,0,,19.857,-2.39534603
