NAME,MSTAR
,mearth
HAT-P-38 b,294965.5384821399
Kepler-18 d,323596.5049713769
Kepler-380 b,
Kepler-132 d,
Kepler-228 b,
mu Ara e,381857.1925948244
Kepler-139 b,
Kepler-375 b,
HD 136118 b,396505.5940544341
Kepler-182 b,
HD 6434 b,263005.38984299154
HD 5319 b,426135.31518864445
Kepler-306 e,
Kepler-253 b,
Kepler-259 b,
HD 231701 b,379526.76508988644
PH-2 b,312943.1220916608
CoRoT-18 b,316272.3042415721
Kepler-203 d,
HD 75898 b,426135.31518864445
Kepler-224 b,
Kepler-205 b,
MOA-2008-BLG-310L b,223055.2040440561
KIC 11442793 b,399501.8579893542
GJ 1214 b,52268.15975360717
Kepler-268 c,
Kepler-135 c,
Kepler-265 c,
16 Cyg B b,318269.8135315188
HAT-P-25 b,336247.3971410398
Kepler-341 e,
HD 213240 b,380525.5197348599
Kepler-399 b,
Kepler-341 c,
Kepler-265 d,
Kepler-243 c,
HD 12661 b,378195.0922299219
Kepler-9 c,332918.2149911285
HD 74156 c,412152.75015901704
Kepler-165 c,
Kepler-326 d,
HD 20794 c,233042.75049378994
Kepler-31 c,402831.0401392655
Kepler-82 b,282980.4827424592
Kepler-306 c,
Kepler-85 e,
HD 38801 b,406160.2222891768
HD 132563 B b,336247.3971410398
Kepler-390 c,
Kepler-61 b,211403.06651936658
GJ 667 C c,109863.0109470724
HD 207832 c,312943.1220916608
Kepler-80 b,239701.1147936125
Kepler-272 d,
Kepler-44 b,396172.6758394429
HD 5891 b,362880.8543403301
Kepler-292 b,
Kepler-228 d,
Kepler-140 b,
Kepler-245 d,
HD 173416 b,665836.429982257
Kepler-104 c,
Kepler-263 b,
Kepler-278 c,
HD 76700 b,375864.6647249841
Kepler-366 b,
HD 39091 b,356555.4082554986
HD 7449 b,349564.1257406849
HD 149026 b,430796.17019852024
Kepler-186 b,159134.9067657594
Kepler-219 c,
OGLE-2006-BLG-109L c,169788.28964547554
Kepler-361 c,
Kepler-265 e,
Qatar-2 b,246359.4790934351
Kepler-293 b,
Kepler-166 b,
HD 216437 b,371869.6461450905
HAT-P-49 b,513692.8057313112
Kepler-367 c,
Kepler-313 b,
Kepler-150 c,
Kepler-87 b,366210.03649024136
HAT-P-7 b,499377.3224866927
Kepler-316 c,
PSR B1257+12 C,
HD 49674 b,337911.98821599537
HD 82943 b,377196.3375849486
Kepler-342 c,
WASP-38 b,409489.4044390881
Kepler-139 c,
HD 77338 b,309613.93994174956
Kepler-29 c,332918.2149911285
HD 220773 b,386185.12938970904
WASP-6 b,309613.93994174956
Kepler-206 c,
Kepler-169 c,
HD 159868 c,386185.12938970904
HD 137388 b,286309.66489237046
HD 95086 b,
Kepler-196 b,
Kepler-352 b,
Kepler-329 b,
Kepler-179 b,
Kepler-176 b,
Kepler-310 c,
Kepler-339 b,
Kepler-124 d,
Kepler-52 c,179775.8360952094
HD 100777 b,332918.2149911285
HAT-P-5 b,385186.3747447357
Kepler-125 b,
Kepler-193 b,
HD 222582 b,321266.077466439
Kepler-119 c,
Kepler-16 b,229613.69287938133
Kepler-32 d,179775.8360952094
Kepler-58 c,316272.3042415721
WASP-33 b,497712.73141173716
HD 128311 b,275656.2820126544
MOA-2011-BLG-293L b,146484.01459609653
HD 181433 d,259676.2076930802
TrES-1 b,292302.1927622108
HD 4208 b,292635.11097720196
Kepler-62 e,229713.56834387864
Kepler-120 b,
HD 5388 b,402831.0401392655
CoRoT-10 b,296297.21134210436
11 UMi b,599252.7869840313
Kepler-286 d,
Kepler-338 c,
WASP-62 b,416147.7687389106
Kepler-300 c,
HD 4732 c,579277.6940845635
Kepler-258 c,
kappa CrB b,526010.7796859831
Kepler-25 b,406160.2222891768
HD 99492 b,276987.9548726189
Kepler-167 c,
Kepler-291 b,
HD 204941 b,246359.4790934351
Kepler-332 d,
HD 196050 b,369206.3004251615
WASP-11 b,266334.57199290284
HD 111232 b,259676.2076930802
HD 117618 b,355889.57182551635
Kepler-192 c,
HD 180902 b,509364.8689364266
HIP 12961 b,223055.2040440561
HD 63454 b,266334.57199290284
BD +48 738 b,396172.6758394429
Kepler-62 c,229713.56834387864
Kepler-371 c,
NGC 2423 3 b,392843.4936895316
Kepler-227 b,
Kepler-33 c,429797.41555354686
Kepler-275 b,
HD 13908 b,429464.49733855575
HD 50499 b,426135.31518864445
CoRoT-14 b,376197.58293997514
Kepler-176 d,
Kepler-319 d,
Kepler-80 d,
Kepler-155 b,
Kepler-342 d,
CoRoT-4 b,386185.12938970904
HAT-P-19 b,280317.1370225302
HD 154857 c,571953.4933547587
Kepler-24 c,342905.7614408624
Kepler-47 c,347233.698235747
GJ 163 b,133167.28599645142
Kepler-133 c,
Kepler-33 f,429797.41555354686
Kepler-116 b,
Kepler-107 c,
Kepler-84 e,
Kepler-315 b,
KIC 11442793 b,399501.8579893542
HD 2039 b,373867.15543503733
Kepler-170 b,
Kepler-36 c,356555.4082554986
Kepler-247 d,
Kepler-136 b,
XO-2 b,324262.3414013592
Kepler-305 d,
Kepler-120 c,
Kepler-393 b,
Kepler-11 d,319934.40460647445
HD 187085 b,380525.5197348599
HD 118203 b,409489.4044390881
WASP-63 b,439452.0437882896
Kepler-30 b,329589.0328412172
Kepler-214 c,
HD 175167 b,366875.8729202236
Kepler-273 b,
Kepler-323 c,
Kepler-84 d,
Kepler-267 c,
HAT-P-16 b,405494.3858591945
TrES-4 b,464087.99169763306
Kepler-231 c,
NGC 4349 127 b,456097.9545378461
Kepler-184 b,
GJ 676 A b,236371.9326437012
Kepler-60 b,369539.21864015266
Kepler-151 b,
Kepler-242 c,
Kepler-230 b,
HD 47186 c,329589.0328412172
Kepler-351 c,
Kepler-350 b,
Kepler-382 b,
HIP 14810 d,329589.0328412172
Kepler-209 b,
Kepler-123 c,
HD 142245 b,562631.7833350071
Kepler-59 c,346234.9435907737
KIC 11442793 b,399501.8579893542
Kepler-258 b,
Kepler-309 c,
Kepler-302 c,
HD 30177 b,316605.22245656315
