# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
Kepler-172 c,,,,0.255,0.047,0.047,6.388996,2e-05,2e-05,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-172,283.36840815,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526.0
Kepler-172 d,,,,0.201,0.036,0.036,14.627119,0.000105,0.000105,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-172,283.36840815,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526.0
Kepler-172 e,,,,0.246,0.05,0.05,35.118736,0.000253,0.000253,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-172,283.36840815,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526.0
Kepler-173 b,,,,0.115,0.057,0.057,4.263742,2.1e-05,2.1e-05,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-173,294.646698,41.884106,,,13.081,12.763,12.668,,-0.786,0.78,0.95,,,6031.0
Kepler-173 c,,,,0.217,0.108,0.108,8.005777,1.5e-05,1.5e-05,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-173,294.646698,41.884106,,,13.081,12.763,12.668,,-0.786,0.78,0.95,,,6031.0
Kepler-174 b,,,,0.175,0.01,0.01,13.98179,2.4e-05,2.4e-05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-174,287.43920895,43.832092,,,12.791,12.293,12.184,,-0.556,,0.62,,,4880.0
Kepler-174 c,,,,0.133,0.008,0.008,44.000529,0.000265,0.000265,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-174,287.43920895,43.832092,,,12.791,12.293,12.184,,-0.556,,0.62,,,4880.0
Kepler-174 d,,,,0.195,0.012,0.012,247.35373,0.002001,0.002001,0.677,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-174,287.43920895,43.832092,,,12.791,12.293,12.184,,-0.556,,0.62,,,4880.0
Kepler-175 b,,,,0.228,0.114,0.114,11.903515,4.6e-05,4.6e-05,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-175,289.55328375,43.876183,,,13.773,13.487,13.496,,-0.023,1.04,1.01,,,6064.0
Kepler-175 c,,,,0.277,0.139,0.139,34.035257,0.000279,0.000279,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-175,289.55328375,43.876183,,,13.773,13.487,13.496,,-0.023,1.04,1.01,,,6064.0
Kepler-176 b,,,,0.128,0.065,0.065,5.433074,2.4e-05,2.4e-05,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-176,294.66796875,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232.0
Kepler-176 c,,,,0.232,0.119,0.119,12.759712,3.3e-05,3.3e-05,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-176,294.66796875,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232.0
Kepler-176 d,,,,0.224,0.118,0.118,25.751974,0.000115,0.000115,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-176,294.66796875,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232.0
Kepler-177 b,0.00535,0.00787,0.00378,0.259,0.013,0.013,35.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-12-20,,,,,,,detected by transit,,,Kepler-177,286.0458,45.0533,15.0,,,,,,0.091,0.93,0.98,,,5942.0
Kepler-177 c,0.0198,0.033,0.0107,0.635,0.033,0.033,49.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-12-20,,,,,,,detected by transit,,,Kepler-177,286.0458,45.0533,15.0,,,,,,0.091,0.93,0.98,,,5942.0
Kepler-178 b,,,,0.259,0.112,0.112,9.576694,2.1e-05,2.1e-05,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-178,287.10107415,46.896477,,,13.28,12.967,12.899,,-0.188,,1.07,,,5676.0
Kepler-178 c,,,,0.257,0.11,0.11,20.552802,6.6e-05,6.6e-05,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-178,287.10107415,46.896477,,,13.28,12.967,12.899,,-0.188,,1.07,,,5676.0
Kepler-178 d,,,,0.352,0.152,0.152,96.678988,0.000702,0.000702,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-178,287.10107415,46.896477,,,13.28,12.967,12.899,,-0.188,,1.07,,,5676.0
Kepler-179 b,,,,0.146,0.061,0.061,2.735926,8e-06,8e-06,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-179,298.6637268,47.762043,,,13.278,12.873,12.75,,-0.01,,0.76,,,5302.0
Kepler-179 c,,,,0.178,0.072,0.072,6.40013,1.7e-05,1.7e-05,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-179,298.6637268,47.762043,,,13.278,12.873,12.75,,-0.01,,0.76,,,5302.0
Kepler-18 b,0.0216153289494384,0.0109492495988421,0.0109492495988421,0.17842836725554,0.00802927652649929,0.00802927652649929,3.504725,2.8e-05,2.8e-05,0.0447,0.0006,0.0006,,,,,84.92,0.26,0.26,2454966.5068,0.0021,0.0021,,,,,,,,,,,,,,1,2011,2013-11-05,,,,,,,detected by transit,,,Kepler-18,298.0791667,44.7463889,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 c,0.0541169807758865,0.00597803857408048,0.00597803857408048,0.488893726280179,0.0223035459069425,0.0223035459069425,7.64159,3e-05,3e-05,0.0752,0.0011,0.0011,,,,,87.68,0.22,0.22,2455167.0883,0.0023,0.0023,,,,,,,,,,,,,,1,2011,2013-11-05,,,,,,,detected by transit,,,Kepler-18,298.0791667,44.7463889,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 d,0.0512852782934273,0.00437340716735362,0.00437340716735362,0.621822859885556,0.0285485387608864,0.0285485387608864,14.85888,4e-05,4e-05,0.1172,0.0017,0.0017,,,,,88.07,0.1,0.1,2455169.1776,0.0013,0.0013,,,,,,,,,,,,,,1,2011,2013-11-05,,,,,,,detected by transit,,,Kepler-18,298.0791667,44.7463889,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-180 b,,,,0.134,0.06,0.06,13.817124,0.000155,0.000155,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-180,295.57135005,49.774586,,,13.057,12.696,12.685,,-0.194,0.84,1.06,,,5731.0
Kepler-180 c,,,,0.269,0.12,0.12,41.885775,0.000228,0.000228,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-180,295.57135005,49.774586,,,13.057,12.696,12.685,,-0.194,0.84,1.06,,,5731.0
Kepler-181 b,,,,0.113,0.055,0.055,3.137873,1.3e-05,1.3e-05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-181,296.15139765,50.095806,,,13.364,12.948,12.876,,-0.162,,0.75,,,5333.0
Kepler-181 c,,,,0.178,0.087,0.087,4.302149,8e-06,8e-06,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-181,296.15139765,50.095806,,,13.364,12.948,12.876,,-0.162,,0.75,,,5333.0
Kepler-182 b,,,,0.23,0.105,0.105,9.825792,6.2e-05,6.2e-05,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-182,289.8301086,50.586246,,,13.836,13.571,13.518,,0.077,1.14,1.15,,,6250.0
Kepler-182 c,,,,0.306,0.136,0.136,20.684342,9.7e-05,9.7e-05,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-182,289.8301086,50.586246,,,13.836,13.571,13.518,,0.077,1.14,1.15,,,6250.0
Kepler-183 b,,,,0.184,0.079,0.079,5.687945,2e-05,2e-05,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-183,293.53085325,39.315899,,,13.726,13.384,13.308,,0.026,,0.96,,,5888.0
Kepler-183 c,,,,0.203,0.087,0.087,11.637071,5.5e-05,5.5e-05,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-183,293.53085325,39.315899,,,13.726,13.384,13.308,,0.026,,0.96,,,5888.0
Kepler-184 b,,,,0.211,0.119,0.119,10.687576,2.5e-05,2.5e-05,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-184,291.95190435,43.074715,,,13.1,12.752,12.69,,-0.338,,0.87,,,5788.0
Kepler-184 c,,,,0.176,0.099,0.099,20.303005,8.7e-05,8.7e-05,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-184,291.95190435,43.074715,,,13.1,12.752,12.69,,-0.338,,0.87,,,5788.0
Kepler-184 d,,,,0.222,0.126,0.126,29.022358,0.000176,0.000176,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-184,291.95190435,43.074715,,,13.1,12.752,12.69,,-0.338,,0.87,,,5788.0
Kepler-185 b,,,,0.104,0.06,0.06,1.6329,5e-06,5e-06,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-185,282.4681092,43.889915,,,13.05,12.587,12.515,,-0.051,0.79,0.81,,,5208.0
Kepler-185 c,,,,0.18,0.104,0.104,20.729042,9.7e-05,9.7e-05,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-185,282.4681092,43.889915,,,13.05,12.587,12.515,,-0.051,0.79,0.81,,,5208.0
Kepler-186 b,,,,0.102,0.008,0.008,3.886803,1e-05,1e-05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-186,298.6527099,43.955017,,,12.473,11.824,11.605,151.0,-0.28,0.478,0.472,,,3788.0
Kepler-186 c,,,,0.12,0.009,0.009,7.267277,1.9e-05,1.9e-05,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-186,298.6527099,43.955017,,,12.473,11.824,11.605,151.0,-0.28,0.478,0.472,,,3788.0
Kepler-186 d,,,,0.139,0.014,0.014,13.343058,4.1e-05,4.1e-05,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-186,298.6527099,43.955017,,,12.473,11.824,11.605,151.0,-0.28,0.478,0.472,,,3788.0
Kepler-186 e,,,,0.119,0.009,0.009,22.407793,0.000123,0.000123,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-186,298.6527099,43.955017,,,12.473,11.824,11.605,151.0,-0.28,0.478,0.472,,,3788.0
Kepler-186 f,,,,0.0990277438268,0.0115978438716101,0.0124899857078878,129.9459,0.0012,0.0012,0.356,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,,1,2014,2014-04-18,,,,,,,detected by transit,,,Kepler-186,298.6527099,43.955017,,,12.473,11.824,11.605,151.0,-0.28,0.478,0.472,,,3788.0
Kepler-187 b,,,,0.126,0.025,0.025,4.938864,5.8e-05,5.8e-05,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-187,299.79644775,44.089306,,,12.956,12.615,12.566,,-0.345,0.85,1.29,,,6105.0
Kepler-187 c,,,,0.238,0.046,0.046,10.640263,4.8e-05,4.8e-05,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-187,299.79644775,44.089306,,,12.956,12.615,12.566,,-0.345,0.85,1.29,,,6105.0
Kepler-188 b,,,,0.15,0.068,0.068,2.061897,1e-05,1e-05,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-188,281.27972415,44.315533,,,13.536,13.197,13.144,,0.1,,1.14,,,6021.0
Kepler-188 c,,,,0.285,0.129,0.129,5.996553,1.5e-05,1.5e-05,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-188,281.27972415,44.315533,,,13.536,13.197,13.144,,0.1,,1.14,,,6021.0
Kepler-189 b,,,,0.108,0.054,0.054,10.399931,8.5e-05,8.5e-05,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-189,287.56472775,44.305004,,,13.408,12.941,12.921,,-0.134,0.79,0.75,,,5235.0
Kepler-189 c,,,,0.212,0.106,0.106,20.134866,5.7e-05,5.7e-05,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-189,287.56472775,44.305004,,,13.408,12.941,12.921,,-0.134,0.79,0.75,,,5235.0
Kepler-19 b,0.064,inf,nan,0.198,0.004,0.004,9.2869944,8.8e-06,8.8e-06,0.085,0.0015,0.0006,,,,,89.94,0.44,0.44,2454959.70597,0.00036,0.00036,,,,,,,,,,,,,,1,2011,2013-04-25,,,,,,,detected by transit,,,Kepler-19,290.4208333,37.8516667,12.0,,,,,,-0.13,0.936,0.85,,1.9,5541.0
Kepler-190 b,,,,0.139,0.01,0.01,2.019999,3e-06,3e-06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-190,288.5840454,44.733799,,,12.728,12.279,12.231,,0.009,0.84,0.8,,,5106.0
Kepler-190 c,,,,0.13,0.009,0.009,3.763024,9e-06,9e-06,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-190,288.5840454,44.733799,,,12.728,12.279,12.231,,0.009,0.84,0.8,,,5106.0
Kepler-191 b,,,,0.12,0.059,0.059,9.939632,6.6e-05,6.6e-05,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-191,291.1833801,45.323177,,,13.42,12.959,12.883,,0.006,0.85,0.79,,,5282.0
Kepler-191 c,,,,0.166,0.082,0.082,17.738506,8.2e-05,8.2e-05,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-191,291.1833801,45.323177,,,13.42,12.959,12.883,,0.006,0.85,0.79,,,5282.0
Kepler-192 b,,,,0.244,0.04,0.04,9.926746,1.8e-05,1.8e-05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-192,287.9179383,45.592876,,,12.892,12.512,12.427,,-0.153,,1.01,,,5479.0
Kepler-192 c,,,,0.249,0.046,0.046,21.2234,7.6e-05,7.6e-05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-192,287.9179383,45.592876,,,12.892,12.512,12.427,,-0.153,,1.01,,,5479.0
Kepler-193 b,,,,0.213,0.096,0.096,11.38848,5.4e-05,5.4e-05,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-193,296.4985962,46.577244,,,13.539,13.242,13.218,,-0.011,,1.15,,,6335.0
Kepler-193 c,,,,0.245,0.111,0.111,50.697494,0.000446,0.000446,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-193,296.4985962,46.577244,,,13.539,13.242,13.218,,-0.011,,1.15,,,6335.0
Kepler-194 b,,,,0.135,0.07,0.07,2.092281,8e-06,8e-06,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-194,291.97143555,47.864174,,,13.78,13.45,13.512,,-0.298,,1.02,,,6089.0
Kepler-194 c,,,,0.231,0.121,0.121,17.308032,7.9e-05,7.9e-05,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-194,291.97143555,47.864174,,,13.78,13.45,13.512,,-0.298,,1.02,,,6089.0
Kepler-194 d,,,,0.214,0.112,0.112,52.814973,0.000481,0.000481,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-194,291.97143555,47.864174,,,13.78,13.45,13.512,,-0.298,,1.02,,,6089.0
Kepler-195 b,,,,0.181,0.066,0.066,8.307872,2e-05,2e-05,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-195,288.1209717,47.966667,,,13.531,13.055,12.959,,-0.052,,0.78,,,5329.0
Kepler-195 c,,,,0.138,0.051,0.051,34.096863,0.000371,0.000371,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-195,288.1209717,47.966667,,,13.531,13.055,12.959,,-0.052,,0.78,,,5329.0
Kepler-196 b,,,,0.17,0.013,0.013,20.739886,6.6e-05,6.6e-05,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-196,284.96850585,42.079205,,,12.752,12.3,12.235,,0.071,,0.78,,,5128.0
Kepler-196 c,,,,0.2,0.015,0.015,47.427737,0.000223,0.000223,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-196,284.96850585,42.079205,,,12.752,12.3,12.235,,0.071,,0.78,,,5128.0
Kepler-197 b,,,,0.091,0.004,0.004,5.599308,2.3e-05,2.3e-05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-197,295.2264405,50.559006,,,10.814,10.577,10.535,,-0.533,,1.12,,,6004.0
Kepler-197 c,,,,0.11,0.004,0.004,10.349695,4.5e-05,4.5e-05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-197,295.2264405,50.559006,,,10.814,10.577,10.535,,-0.533,,1.12,,,6004.0
Kepler-197 d,,,,0.109,0.009,0.009,15.677563,9.6e-05,9.6e-05,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-197,295.2264405,50.559006,,,10.814,10.577,10.535,,-0.533,,1.12,,,6004.0
Kepler-197 e,,,,0.081,0.004,0.004,25.209715,0.000387,0.000387,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-197,295.2264405,50.559006,,,10.814,10.577,10.535,,-0.533,,1.12,,,6004.0
Kepler-198 b,,,,0.252,0.037,0.037,17.790037,3.5e-05,3.5e-05,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-198,290.67312615,38.69101,,,12.421,12.067,12.027,,-0.14,0.93,0.94,,,5574.0
Kepler-198 c,,,,0.22,0.033,0.033,49.567416,0.00022,0.00022,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-198,290.67312615,38.69101,,,12.421,12.067,12.027,,-0.14,0.93,0.94,,,5574.0
Kepler-199 b,,,,0.277,0.05,0.05,23.637604,5e-05,5e-05,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-199,295.5594177,40.236271,,,12.449,12.101,12.083,,-0.157,,0.97,,,5644.0
Kepler-199 c,,,,0.29,0.052,0.052,67.093408,0.00019,0.00019,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-199,295.5594177,40.236271,,,12.449,12.101,12.083,,-0.157,,0.97,,,5644.0
Kepler-20 b,0.0265865399742,0.00667023251423717,0.00667023251423717,0.169506948893,0.017842836725554,0.00981356019905469,3.6961219,,,0.04537,0.0006,0.0006,0.32,inf,nan,0.000156,86.5,0.31,0.31,2454967.50027,0.00068,0.00068,,,,,,,,,,,,,,1,2011,2014-05-21,,,,,,,detected by transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 c,0.0493974766385,0.00726803637164522,0.00726803637164522,0.272995401901,0.026764255088331,0.0169506948892763,10.854092,1.3e-05,1.3e-05,0.093,0.001,0.001,0.4,inf,nan,0.000321,88.39,0.16,0.16,2454971.60758,0.00046,0.00046,,,,,,,,,,,,,,1,2011,2014-05-21,,,,,,,detected by transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 d,0.06,,,0.25,0.027,0.027,77.61185,0.00037,0.00037,0.3453,0.0046,0.0046,0.6,inf,nan,0.001191,89.57,0.0048,0.0048,2454997.7271,0.0019,0.0019,,,,,,,,,,,,,,1,2011,2012-12-06,,,,,,,detected by transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 e,0.0097,inf,nan,0.078,0.09,0.09,6.098493,6.5e-05,6.5e-05,0.0507,0.0067,0.0067,,,,0.000175,87.5,0.34,0.34,245968.9336,0.0039,0.0039,,,,,,,,,,,,,,1,2011,2013-08-30,,,,,,,detected by transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 f,0.045,,,0.09,0.01,0.01,19.57706,0.00052,0.00052,0.11,0.01,0.01,,,,0.000379,88.68,0.17,0.17,2454968.219,0.011,0.011,,,,,,,,,,,,,,1,2011,2012-12-06,,,,,,,detected by transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-200 b,,,,0.19,0.037,0.037,8.594805,3.6e-05,3.6e-05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-200,284.40991215,41.237465,,,12.871,12.58,12.455,,-0.118,,0.94,,,5678.0
Kepler-200 c,,,,0.142,0.026,0.026,10.222157,5.3e-05,5.3e-05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-200,284.40991215,41.237465,,,12.871,12.58,12.455,,-0.118,,0.94,,,5678.0
Kepler-201 b,,,,0.219,0.043,0.043,25.672083,7.5e-05,7.5e-05,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-201,293.62603755,41.272827,,,12.037,11.784,11.737,,-0.279,1.17,1.23,,,6065.0
Kepler-201 c,,,,0.254,0.054,0.054,151.884058,0.002014,0.002014,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-201,293.62603755,41.272827,,,12.037,11.784,11.737,,-0.279,1.17,1.23,,,6065.0
Kepler-202 b,,,,0.145,0.009,0.009,4.069427,7e-06,7e-06,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-202,282.97341915,41.322006,,,12.255,11.733,11.639,,0.012,,0.67,,,4668.0
Kepler-202 c,,,,0.165,0.009,0.009,16.282493,3.8e-05,3.8e-05,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-202,282.97341915,41.322006,,,12.255,11.733,11.639,,0.012,,0.67,,,4668.0
Kepler-203 b,,,,0.229,0.046,0.046,3.162697,4e-06,4e-06,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-203,297.0899658,41.388039,,,12.859,12.47,12.445,,-0.107,0.98,1.11,,,5821.0
Kepler-203 c,,,,0.22,0.042,0.042,5.370647,8e-06,8e-06,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-203,297.0899658,41.388039,,,12.859,12.47,12.445,,-0.107,0.98,1.11,,,5821.0
Kepler-203 d,,,,0.128,0.025,0.025,11.32972,8e-05,8e-05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-203,297.0899658,41.388039,,,12.859,12.47,12.445,,-0.107,0.98,1.11,,,5821.0
Kepler-204 b,,,,0.226,0.048,0.048,14.400974,5.6e-05,5.6e-05,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-204,285.34719855,41.761925,,,12.846,12.486,12.481,,-0.213,0.96,1.24,,,5812.0
Kepler-204 c,,,,0.16,0.035,0.035,25.660593,0.000288,0.000288,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-204,285.34719855,41.761925,,,12.846,12.486,12.481,,-0.213,0.96,1.24,,,5812.0
Kepler-205 b,,,,0.135,0.012,0.012,2.75564,2e-06,2e-06,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-205,285.2871093,41.861172,,,11.608,10.962,10.833,,-0.149,,0.55,,,4321.0
