# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
CoRoT-10 b,2.75,0.14,0.14,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,0.000306,88.55,0.2,0.2,54273.3436,0.0012,0.0012,,,,,,,,,,,,,,1,2010,2014-01-24,218.9,6.4,6.4,54990.85,0.08,0.08,detected by transit,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.0,0.26,0.89,0.79,K1V,3.0,5075.0
CoRoT-11 b,2.33,0.27,0.27,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,7.8e-05,81.41,0.17,0.17,54597.679,0.0003,0.0003,,,,,,,,,,,,,,1,2010,2014-01-24,,,,,,,detected by transit,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,-0.03,1.27,1.37,F6V,2.0,6440.0
CoRoT-12 b,0.917,0.065,0.07,1.44,0.13,0.13,2.828042,1.3e-05,1.3e-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,3.5e-05,85.48,0.77,0.77,4398.62707,0.00036,0.00036,,,,,,,,,,,,,,1,2010,2014-01-24,105.0,27.0,27.0,,,,detected by transit,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,0.16,1.078,1.116,G2V,6.3,5675.0
CoRoT-13 b,1.308,0.066,0.066,0.885,0.014,0.014,4.03519,3e-05,3e-05,0.051,0.0031,0.0031,0.0,,,3.9e-05,88.02,0.036,0.036,4790.8091,0.0006,0.0006,,,,,,,,,,,,,,1,2010,2014-01-24,,,,,,,detected by transit,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,0.01,1.09,1.01,G0V,1.64,5945.0
CoRoT-14 b,7.6,0.6,0.6,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0.0,,,2e-05,79.6,0.8,0.8,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,1,2010,2014-01-24,,,,2454787.6702,,,detected by transit,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340.0,0.05,1.13,1.21,F9V,0.6,6035.0
CoRoT-16 b,0.535,0.085,0.085,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,7.4e-05,85.01,1.2,1.2,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,1,2010,2014-01-24,168.41,21.0,21.0,,,,detected by transit,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,0.19,1.098,1.19,G5V,6.73,5650.0
CoRoT-17 b,2.43,0.16,0.16,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0.0,,,5e-05,88.34,1.54,1.54,2454923.3093,0.003613,0.003613,,,,,,,,,,,,,,1,2010,2014-01-24,,,,,,,detected by transit,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920.0,0.0,1.04,1.59,G2V,10.7,5740.0
CoRoT-18 b,3.47,0.38,0.38,1.31,0.18,0.18,1.9000693,2.8e-06,2.8e-06,0.0295,0.0016,0.0016,0.08,inf,nan,3.4e-05,86.5,0.9,0.9,2455321.72412,0.00018,0.00018,,,,,,,,,,,,,,1,2011,2014-01-24,,,,,,,detected by transit,,,CoRoT-18,98.170833347,0.031388901,14.99,,,,,870.0,-0.1,0.95,1.0,G9V,,5440.0
CoRoT-19 b,1.11,0.06,0.06,1.29,0.05,0.05,3.89713,2e-05,2e-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,6.5e-05,87.61,0.37,0.37,2455257.44102,0.0006,0.0006,,,,,,,,,,,,,,1,2011,2014-01-24,86.0,60.0,60.0,,,,detected by transit,,,CoRoT-19,97.033333336,0.170555562,14.78,,,,,800.0,-0.02,1.21,1.65,F9V,5.0,6090.0
CoRoT-2 b,3.31,0.16,0.16,1.465,0.029,0.029,1.7429964,1.7e-06,1.7e-06,0.0281,0.0009,0.0009,0.0,,,9.4e-05,87.84,0.1,0.1,2454706.4041,0.003,0.003,,,,,,,,,,,,,,1,2007,2014-01-25,,,,,,,detected by transit,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300.0,-0.04,0.97,0.902,G7V,,5575.0
